year,country_of_production,port_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","SRI LANKA","SRI LANKA","228108.51603","10359871"
"2015","BRAZIL","SANTOS","NARDINI AGROINDUSTRIAL","NARDINI AGROINDUSTRIAL","SRI LANKA","SRI LANKA","72714.3966","3304526"
"2015","BRAZIL","PARANAGUA","USINA ALTO ALEGRE S/A - ACUCAR E ALCOOL","USINA ALTO ALEGRE S/A - ACUCAR E ALCOOL","SRI LANKA","SRI LANKA","16432.632","868476"
"2015","BRAZIL","SANTOS","LOUIS DREYFUS","LOUIS DREYFUS","SRI LANKA","SRI LANKA","120163.6215","6374973"
"2015","BRAZIL","SANTOS","E D & F MAN BRASIL S/A.","E D & F MAN BRASIL S/A.","SRI LANKA","SRI LANKA","41081.58","1914743"
"2015","BRAZIL","SUAPE","USINA SERRA GRANDE SA","USINA SERRA GRANDE SA","SRI LANKA","SRI LANKA","36973.422","1843104"
"2015","BRAZIL","SANTOS","USINA BELA VISTA S/A","USINA BELA VISTA S/A","SRI LANKA","SRI LANKA","30811.185","1368354"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","SOMALIA","SOMALIA","4108.158","201881"
"2015","BRAZIL","SANTOS","USINA ALTA MOGIANA S/A-ACUCAR E ALCOOL","USINA ALTA MOGIANA S/A-ACUCAR E ALCOOL","SOMALIA","SOMALIA","26703.027","1452870"
"2015","BRAZIL","SANTOS","USINA SANTA ISABEL","USINA SANTA ISABEL","SOMALIA","SOMALIA","37292.9454","1530040"
"2015","BRAZIL","SANTOS","SUCDEN DO BRASIL LTDA.","SUCDEN DO BRASIL LTDA.","SOMALIA","SOMALIA","28757.106","1476166"
"2015","BRAZIL","SANTOS","EISA - EMPRESA INTERAGRICOLA","EISA - EMPRESA INTERAGRICOLA","SIERRA LEONE","SIERRA LEONE","4108.158","202954"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","SIERRA LEONE","SIERRA LEONE","4108.158","191717"
"2015","BRAZIL","SUAPE","USINA TRAPICHE S/A","USINA TRAPICHE S/A","SIERRA LEONE","SIERRA LEONE","3491.9343","183803"
"2015","BRAZIL","SANTOS","NOBLE BRASIL S/A","COFCO","SIERRA LEONE","SIERRA LEONE","11868.012","585592"
"2015","BRAZIL","SANTOS","EISA - EMPRESA INTERAGRICOLA","EISA - EMPRESA INTERAGRICOLA","SENEGAL","SENEGAL","39232.9089","1867860"
"2015","BRAZIL","SANTOS","USINA ALTA MOGIANA S/A-ACUCAR E ALCOOL","USINA ALTA MOGIANA S/A-ACUCAR E ALCOOL","SENEGAL","SENEGAL","3697.3422","186446"
"2015","BRAZIL","SANTOS","LOUIS DREYFUS","LOUIS DREYFUS","SENEGAL","SENEGAL","10270.395","525687"
"2015","BRAZIL","SANTOS","SUCDEN DO BRASIL LTDA.","SUCDEN DO BRASIL LTDA.","SENEGAL","SENEGAL","89968.6602","4535485"
"2015","BRAZIL","SANTOS","EISA - EMPRESA INTERAGRICOLA","EISA - EMPRESA INTERAGRICOLA","RUSSIAN FEDERATION","RUSSIAN FEDERATION","4108.158","181047"
"2015","BRAZIL","SANTOS","GUARANI","GUARANI","DOMINICAN REPUBLIC","DOMINICAN REPUBLIC","1095.5088","70766"
"2015","BRAZIL","SANTOS","USINA SAO FRANCISCO S/A","USINA SAO FRANCISCO S/A","NETHERLANDS","EUROPEAN UNION","82052.84835","8135518"
"2015","BRAZIL","SANTOS","JALLES MACHADO","JALLES MACHADO","NETHERLANDS","EUROPEAN UNION","24837.999345","2541740"
"2015","BRAZIL","SANTOS","SUCDEN DO BRASIL LTDA.","SUCDEN DO BRASIL LTDA.","OMAN","OMAN","22594.869","1159844"
"2015","BRAZIL","SANTOS","USINA SAO FRANCISCO S/A","USINA SAO FRANCISCO S/A","NEW ZEALAND","NEW ZEALAND","1833.4557","207868"
"2015","BRAZIL","SANTOS","ENERGY COMERCIAL IMPORTADORA E EXPORTADORA LTDA","ENERGY COMERCIAL IMPORTADORA E EXPORTADORA LTDA","NEW ZEALAND","NEW ZEALAND","791.2008","77784"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","NIGERIA","NIGERIA","2339432.1643959","87946952"
"2015","BRAZIL","PARANAGUA","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","MAURITANIA","MAURITANIA","816969.221055","36075439"
"2015","BRAZIL","PARANAGUA","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","MAURITANIA","MAURITANIA","65523.978945","2870161"
"2015","BRAZIL","SANTOS","U.S.J. - ACUCAR E ALCOOL","U.S.J. - ACUCAR E ALCOOL","MALTA","EUROPEAN UNION","55049.3172","2738414"
"2015","BRAZIL","SANTOS","EISA - EMPRESA INTERAGRICOLA","EISA - EMPRESA INTERAGRICOLA","MADAGASCAR","MADAGASCAR","31222.0008","1442570"
"2015","BRAZIL","SANTOS","ANDRADE ACUCAR E ALCOOL","ANDRADE ACUCAR E ALCOOL","MADAGASCAR","MADAGASCAR","6162.237","266207"
"2015","BRAZIL","SANTOS","USINA SANTA ISABEL","USINA SANTA ISABEL","MADAGASCAR","MADAGASCAR","2054.079","82355"
"2015","BRAZIL","SANTOS","E D & F MAN BRASIL S/A.","E D & F MAN BRASIL S/A.","MADAGASCAR","MADAGASCAR","98595.792","4835767"
"2015","BRAZIL","SANTOS","SUCDEN DO BRASIL LTDA.","SUCDEN DO BRASIL LTDA.","MADAGASCAR","MADAGASCAR","18486.711","991132"
