year,country_of_production,port_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob
"2015","ARGENTINA","SAN LORENZO","ACEITERA GENERAL DEHEZA SA.","ACEITERA GENERAL DEHEZA SA.","SOUTH AFRICA","SOUTH AFRICA","91280","15323740"
"2015","ARGENTINA","VILLA CONSTITUCION","UNKNOWN","UNKNOWN","CUBA","CUBA","91251.07","17013549.189999998"
"2015","ARGENTINA","ROSARIO","NIDERA ARGENTINA","COFCO","VIETNAM","VIETNAM","90800","16524262.4"
"2015","ARGENTINA","SAN LORENZO","BMS GRAINS S A","BMS GRAINS S A","YEMEN","YEMEN","90230.3","15391217.11"
"2015","ARGENTINA","ROSARIO","CARGILL SACI.","CARGILL","UNITED KINGDOM","EUROPEAN UNION","90194.541","19879393.42"
"2015","ARGENTINA","SAN LORENZO","ALABERN FABREGA Y CIA S A","ALABERN FABREGA Y CIA S A","INDONESIA","INDONESIA","89129.6","14885226.81"
"2015","ARGENTINA","ROSARIO","AGRICULTORES FEDERADOS ARGENTINOS S. C. L.","AGRICULTORES FEDERADOS ARGENTINOS S. C. L.","EGYPT","EGYPT","88400","13819847.94"
"2015","ARGENTINA","SAN LORENZO","ACEITERA CHABAS SA.","ACEITERA CHABAS SA.","YEMEN","YEMEN","86918.44","15512034.75"
"2015","ARGENTINA","ROSARIO","UNKNOWN","UNKNOWN","VIETNAM","VIETNAM","86900","14917165.629999999"
"2015","ARGENTINA","ROSARIO","ALFRED C TOEPFER INTERNATIONAL ARGENTINA S R L","ADM","INDONESIA","INDONESIA","85778.21000000002","16299099.49"
"2015","ARGENTINA","SAN LORENZO","NIDERA ARGENTINA","COFCO","MOROCCO","MOROCCO","83883.7","15953977.190000001"
"2015","ARGENTINA","SAN LORENZO","BUNGE ARGENTINA SA","BUNGE","JORDAN","JORDAN","83724","14636030.030000001"
"2015","ARGENTINA","ROSARIO","AMAGGI ARGENTINA S A","AMAGGI","ALGERIA","ALGERIA","81850","13985976.05"
"2015","ARGENTINA","VILLA CONSTITUCION","ASOCIACION DE COOPERATIVAS ARGENTINAS (COOP.LTDA)","ASOCIACION DE COOPERATIVAS ARGENTINAS (COOP.LTDA)","SPAIN","EUROPEAN UNION","81338.29000000001","13928656.73"
"2015","ARGENTINA","SAN LORENZO","ACEITERA GENERAL DEHEZA SA.","ACEITERA GENERAL DEHEZA SA.","VIETNAM","VIETNAM","80597.28","15370425.500000002"
